,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
0,PRDM8,NHLRC1,,0.225,1.0,,"['HPO:Myoclonus', 'HPO:Generalized myoclonic seizures', 'HPO:Dementia']"
1,PRDM8,EPM2A,,0.225,1.0,,"['HPO:Myoclonus', 'HPO:Generalized myoclonic seizures', 'HPO:Dementia']"
2,SCN2A,NHLRC1,,0.23134328358208955,,,"['HPO:Myoclonus', 'HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity']"
3,SCN2A,EPM2A,,0.23134328358208955,,,"['HPO:Myoclonus', 'HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity']"
4,GABRG2,NHLRC1,,0.2571428571428571,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
5,GABRG2,EPM2A,,0.2571428571428571,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
6,GABRA1,EPM2A,,0.25225225225225223,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
7,GABRA1,NHLRC1,,0.25225225225225223,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
8,RPS27A,NHLRC1,,,1.0,,
9,RPS27A,EPM2A,,,1.0,,
10,SAMD12,EPM2A,,0.22388059701492535,,,
11,SAMD12,NHLRC1,,0.22388059701492535,,,
12,SCARB2,EPM2A,,0.2549019607843137,,,"['HPO:Myoclonus', 'HPO:Cutaneous photosensitivity', 'HPO:Dementia']"
13,SCARB2,NHLRC1,,0.2549019607843137,,,"['HPO:Myoclonus', 'HPO:Cutaneous photosensitivity', 'HPO:Dementia']"
14,SCN1B,EPM2A,,0.2109375,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
15,SCN1B,NHLRC1,,0.2109375,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
16,ADRA2B,NHLRC1,,0.20512820512820512,,,
17,ADRA2B,EPM2A,,0.20512820512820512,,,
18,GYG1,NHLRC1,,,1.0,,
19,GYG1,EPM2A,,,1.0,,
20,EFHC1,NHLRC1,,0.2028985507246377,,,"['HPO:Myoclonus', 'HPO:Absence seizures']"
21,EFHC1,EPM2A,,0.2028985507246377,,,"['HPO:Myoclonus', 'HPO:Absence seizures']"
22,NPC1,NHLRC1,,0.2066115702479339,,,"['HPO:Dementia', 'HPO:Psychosis', 'HPO:Autosomal recessive inheritance']"
23,NPC1,EPM2A,,0.2066115702479339,,,"['HPO:Dementia', 'HPO:Psychosis', 'HPO:Autosomal recessive inheritance']"
24,SNCB,NHLRC1,,0.20689655172413796,,,"['HPO:Dementia', 'HPO:Visual hallucinations']"
25,SNCB,EPM2A,,0.20689655172413796,,,"['HPO:Dementia', 'HPO:Visual hallucinations']"
26,SORL1,EPM2A,,0.20212765957446807,,,
27,SORL1,NHLRC1,,0.20212765957446807,,,
28,DNAJC5,EPM2A,,0.2391304347826087,,,
29,DNAJC5,NHLRC1,,0.2391304347826087,,,
30,STUB1,EPM2A,,,1.0,,
31,STUB1,NHLRC1,,,1.0,,
32,GRIN2A,NHLRC1,,0.2058823529411765,,,
33,GRIN2A,EPM2A,,0.2058823529411765,,,
34,GYG2,EPM2A,,,1.0,,
35,GYG2,NHLRC1,,,1.0,,
36,CSTB,EPM2A,,0.3428571428571429,,,"['HPO:Myoclonus', 'HPO:Cutaneous photosensitivity', 'HPO:Absence seizures']"
37,CSTB,NHLRC1,,0.3428571428571429,,,"['HPO:Myoclonus', 'HPO:Cutaneous photosensitivity', 'HPO:Absence seizures']"
38,GYS1,NHLRC1,,,1.0,,
39,GYS1,EPM2A,,,1.0,,
40,GYS2,EPM2A,,,1.0,,
41,GYS2,NHLRC1,,,1.0,,
42,ITM2B,NHLRC1,,0.2111111111111111,,,"['HPO:Dementia', 'HPO:Psychosis']"
43,ITM2B,EPM2A,,0.2111111111111111,,,"['HPO:Dementia', 'HPO:Psychosis']"
44,KCNC1,NHLRC1,,0.21428571428571427,,,['HPO:Myoclonus']
45,KCNC1,EPM2A,,0.21428571428571427,,,['HPO:Myoclonus']
46,KCNQ3,NHLRC1,,0.2727272727272727,,,['HPO:Myoclonus']
47,KCNQ3,EPM2A,,0.2727272727272727,,,['HPO:Myoclonus']
48,LGI1,NHLRC1,,0.22916666666666666,,,['HPO:Generalized tonic-clonic seizures with focal onset']
49,LGI1,EPM2A,,0.22916666666666666,,,['HPO:Generalized tonic-clonic seizures with focal onset']
50,PRICKLE1,EPM2A,,0.2857142857142857,,,"['HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures', 'HPO:Dementia']"
51,PRICKLE1,NHLRC1,,0.2857142857142857,,,"['HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures', 'HPO:Dementia']"
52,PPP1R3D,NHLRC1,0.3117647058823529,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
53,PPP1R3D,EPM2A,,,1.0,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
54,MECR,EPM2A,,0.20253164556962025,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
55,MECR,NHLRC1,,0.20253164556962025,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
56,PPP1R3C,NHLRC1,,,1.0,,
57,PPP1R3C,EPM2A,,,1.0,,
58,PPOX,EPM2A,,0.22093023255813954,,,"['HPO:Cutaneous photosensitivity', 'HPO:Psychosis', 'HPO:Visual hallucinations']"
59,PPOX,NHLRC1,,0.22093023255813954,,,"['HPO:Cutaneous photosensitivity', 'HPO:Psychosis', 'HPO:Visual hallucinations']"
60,PLCB1,EPM2A,,0.2028985507246377,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
61,PLCB1,NHLRC1,,0.2028985507246377,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
62,PCDH19,NHLRC1,,0.28,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
63,PCDH19,EPM2A,,0.28,,,"['HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity', 'HPO:Generalized myoclonic seizures']"
64,CTNND2,EPM2A,,0.23214285714285715,,,['HPO:Myoclonus']
65,CTNND2,NHLRC1,,0.23214285714285715,,,['HPO:Myoclonus']
66,SERPINI1,NHLRC1,,0.2222222222222222,,,"['HPO:Myoclonus', 'HPO:Dementia']"
67,SERPINI1,EPM2A,,0.2222222222222222,,,"['HPO:Myoclonus', 'HPO:Dementia']"
68,UBC,EPM2A,,,1.0,,
69,UBC,NHLRC1,,,1.0,,
70,CNTN2,EPM2A,,0.26785714285714285,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
71,CNTN2,NHLRC1,,0.26785714285714285,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
72,UBB,NHLRC1,,,1.0,,
73,UBB,EPM2A,,,1.0,,
74,UBA52,EPM2A,,,1.0,,
75,UBA52,NHLRC1,,,1.0,,
76,CLN5,EPM2A,,0.2169811320754717,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
77,CLN5,NHLRC1,,0.2169811320754717,,,"['HPO:Myoclonus', 'HPO:Autosomal recessive inheritance']"
78,CLN6,EPM2A,,0.27,,,"['HPO:Myoclonus', 'HPO:Dementia', 'HPO:Visual hallucinations']"
79,CLN6,NHLRC1,,0.27,,,"['HPO:Myoclonus', 'HPO:Dementia', 'HPO:Visual hallucinations']"
80,CLN8,NHLRC1,,0.27450980392156865,,,"['HPO:Myoclonus', 'HPO:Psychosis', 'HPO:Autosomal recessive inheritance']"
81,CLN8,EPM2A,,0.27450980392156865,,,"['HPO:Myoclonus', 'HPO:Psychosis', 'HPO:Autosomal recessive inheritance']"
82,TOPORS,NHLRC1,0.3385214007782101,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
83,TOPORS,EPM2A,,,1.0,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
84,UBE2N,NHLRC1,,,1.0,,
85,UBE2N,EPM2A,,,1.0,,
86,ALDH5A1,NHLRC1,,0.21794871794871795,,,"['HPO:Generalized myoclonic seizures', 'HPO:Absence seizures', 'HPO:Psychosis']"
87,ALDH5A1,EPM2A,,0.21794871794871795,,,"['HPO:Generalized myoclonic seizures', 'HPO:Absence seizures', 'HPO:Psychosis']"
88,PKM,EPM2A,,,1.0,,
89,PRKD3,NHLRC1,0.372093023255814,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
90,UBE2L3,NHLRC1,0.32196969696969696,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
91,UBE2K,NHLRC1,0.3008130081300813,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
92,PRR5,NHLRC1,0.3580246913580247,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
