,Output_gene,Input_gene,Func_sim_score,Func_assoc_terms,Pheno_sim_score,Pheno_assoc_terms,Gene_Gene_hit
34,PRDM8,NHLRC1,,,0.225,"['Abnormality of movement', 'Seizures', 'Hallucinations', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'Dementia', 'Involuntary movements', 'All', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Behavioral abnormality', 'Abnormality of the nervous system', 'Psychosis', 'Myoclonus', 'Generalized-onset seizure', 'Mental deterioration']",1.0
35,PRDM8,EPM2A,,,0.225,"['Abnormality of movement', 'Seizures', 'Hallucinations', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'Dementia', 'Involuntary movements', 'All', 'Generalized myoclonic seizures', 'Abnormality of central motor function', 'Behavioral abnormality', 'Abnormality of the nervous system', 'Psychosis', 'Myoclonus', 'Generalized-onset seizure', 'Mental deterioration']",1.0
45,SCN2A,NHLRC1,,,0.23134328358208955,"['Involuntary movements', 'Absence seizure', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Abnormality of vision', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Abnormality of digestive system physiology', 'Mental deterioration', 'Hallucinations', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Myoclonus', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the digestive system', 'Abnormality of the eye', 'Visual impairment', 'Generalized tonic-clonic seizures with focal onset', 'Abnormality of the skin', 'Abnormality of the nervous system', 'Behavioral abnormality']",
44,SCN2A,EPM2A,,,0.23134328358208955,"['Involuntary movements', 'Absence seizure', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Abnormality of vision', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Abnormality of digestive system physiology', 'Mental deterioration', 'Hallucinations', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Myoclonus', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the digestive system', 'Abnormality of the eye', 'Visual impairment', 'Generalized tonic-clonic seizures with focal onset', 'Abnormality of the skin', 'Abnormality of the nervous system', 'Behavioral abnormality']",
12,GABRG2,NHLRC1,,,0.2571428571428571,"['Involuntary movements', 'Absence seizure', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Abnormality of vision', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Mental deterioration', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the eye', 'Visual impairment', 'Generalized tonic-clonic seizures with focal onset', 'Abnormality of the skin', 'Abnormality of the nervous system', 'Behavioral abnormality']",
13,GABRG2,EPM2A,,,0.2571428571428571,"['Involuntary movements', 'Absence seizure', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Abnormality of vision', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Mental deterioration', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the eye', 'Visual impairment', 'Generalized tonic-clonic seizures with focal onset', 'Abnormality of the skin', 'Abnormality of the nervous system', 'Behavioral abnormality']",
10,GABRA1,EPM2A,,,0.25225225225225223,"['Involuntary movements', 'Absence seizure', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Abnormality of vision', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Mental deterioration', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Myoclonus', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the eye', 'Visual impairment', 'Generalized tonic-clonic seizures with focal onset', 'Abnormality of the skin', 'Abnormality of the nervous system', 'Behavioral abnormality']",
11,GABRA1,NHLRC1,,,0.25225225225225223,"['Involuntary movements', 'Absence seizure', 'Abnormal eye physiology', 'Abnormality of central motor function', 'Focal-onset seizure', 'Cutaneous photosensitivity', 'Abnormality of vision', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Mental deterioration', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Myoclonus', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the eye', 'Visual impairment', 'Generalized tonic-clonic seizures with focal onset', 'Abnormality of the skin', 'Abnormality of the nervous system', 'Behavioral abnormality']",
230,RPS27A,NHLRC1,,,,,1.0
248,RPS27A,EPM2A,,,,,1.0
38,SAMD12,EPM2A,,,0.22388059701492538,"['Focal-onset seizure', 'Abnormality of movement', 'Abnormality of vision', 'Phenotypic abnormality', 'Abnormality of nervous system physiology', 'Involuntary movements', 'All', 'Abnormality of the eye', 'Generalized tonic-clonic seizures', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the nervous system', 'Abnormal eye physiology', 'Myoclonus', 'Generalized-onset seizure']",
39,SAMD12,NHLRC1,,,0.22388059701492538,"['Focal-onset seizure', 'Abnormality of movement', 'Abnormality of vision', 'Phenotypic abnormality', 'Abnormality of nervous system physiology', 'Involuntary movements', 'All', 'Abnormality of the eye', 'Generalized tonic-clonic seizures', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the nervous system', 'Abnormal eye physiology', 'Myoclonus', 'Generalized-onset seizure']",
40,SCARB2,EPM2A,,,0.2549019607843137,"['Involuntary movements', 'Abnormality of metabolism/homeostasis', 'Absence seizure', 'Abnormality of central motor function', 'Cutaneous photosensitivity', 'Generalized abnormality of skin', 'Generalized tonic-clonic seizures', 'Generalized-onset seizure', 'Mental deterioration', 'Abnormality of digestive system physiology', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Abnormality of nervous system physiology', 'Cognitive impairment', 'Dementia', 'All', 'Generalized myoclonic seizures', 'Seizures', 'Abnormality of the integument', 'Gait disturbance', 'Myoclonus', 'Abnormality of movement', 'Abnormality of skin morphology', 'Abnormality of the digestive system', 'Abnormality of the skin', 'Abnormality of the nervous system']",
