,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
0,PRDM8,EPM2A,,0.225,1.0,,"['HPO:Myoclonus', 'HPO:Generalized myoclonic seizures', 'HPO:Dementia']"
1,PRDM8,NHLRC1,,0.225,1.0,,"['HPO:Myoclonus', 'HPO:Generalized myoclonic seizures', 'HPO:Dementia']"
2,ADRA2B,NHLRC1,,0.20512820512820512,,,
3,ADRA2B,EPM2A,,0.20512820512820512,,,
4,GYG2,EPM2A,,,1.0,,
5,GYG2,NHLRC1,,,1.0,,
6,STUB1,EPM2A,,,1.0,,
7,STUB1,NHLRC1,,,1.0,,
8,DNAJC5,NHLRC1,,0.24444444444444444,,,
9,DNAJC5,EPM2A,,0.24444444444444444,,,
10,SNCB,NHLRC1,,0.20689655172413796,,,"['HPO:Dementia', 'HPO:Visual hallucinations']"
11,SNCB,EPM2A,,0.20689655172413796,,,"['HPO:Dementia', 'HPO:Visual hallucinations']"
12,SERPINI1,EPM2A,,0.2191780821917808,,,"['HPO:Myoclonus', 'HPO:Dementia']"
13,SERPINI1,NHLRC1,,0.2191780821917808,,,"['HPO:Myoclonus', 'HPO:Dementia']"
14,SCN2A,NHLRC1,,0.22962962962962966,,,"['HPO:Myoclonus', 'HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity']"
15,SCN2A,EPM2A,,0.22962962962962966,,,"['HPO:Myoclonus', 'HPO:Generalized tonic-clonic seizures with focal onset', 'HPO:Cutaneous photosensitivity']"
16,EFHC1,NHLRC1,,0.2028985507246377,,,"['HPO:Myoclonus', 'HPO:Absence seizures']"
17,EFHC1,EPM2A,,0.2028985507246377,,,"['HPO:Myoclonus', 'HPO:Absence seizures']"
18,SCARB2,EPM2A,,0.2549019607843137,,,"['HPO:Myoclonus', 'HPO:Cutaneous photosensitivity', 'HPO:Dementia']"
19,SCARB2,NHLRC1,,0.2549019607843137,,,"['HPO:Myoclonus', 'HPO:Cutaneous photosensitivity', 'HPO:Dementia']"
20,SAMD12,NHLRC1,,0.22388059701492535,,,
21,SAMD12,EPM2A,,0.22388059701492535,,,
22,RPS27A,EPM2A,,,1.0,,
