,Output_gene,Input_gene,Func_sim_score,Func_assoc_terms,Pheno_sim_score,Pheno_assoc_terms,Gene_Gene_hit
19,PRDM8,EPM2A,,,0.225,"['Generalized myoclonic seizures', 'Abnormality of central motor function', 'Hallucinations', 'Cognitive impairment', 'Generalized-onset seizure', 'Behavioral abnormality', 'Seizures', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Dementia', 'Psychosis', 'Myoclonus', 'Abnormality of nervous system physiology', 'Abnormality of movement', 'Phenotypic abnormality']",1.0
18,PRDM8,NHLRC1,,,0.225,"['Generalized myoclonic seizures', 'Abnormality of central motor function', 'Hallucinations', 'Cognitive impairment', 'Generalized-onset seizure', 'Behavioral abnormality', 'Seizures', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Dementia', 'Psychosis', 'Myoclonus', 'Abnormality of nervous system physiology', 'Abnormality of movement', 'Phenotypic abnormality']",1.0
0,ADRA2B,NHLRC1,,,0.20512820512820512,"['Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cognitive impairment', 'Generalized-onset seizure', 'Seizures', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Abnormality of the eye']",
1,ADRA2B,EPM2A,,,0.20512820512820512,"['Abnormality of vision', 'Abnormal eye physiology', 'Focal-onset seizure', 'Cognitive impairment', 'Generalized-onset seizure', 'Seizures', 'Phenotypic abnormality', 'Abnormality of higher mental function', 'Generalized tonic-clonic seizures', 'Abnormality of the nervous system', 'All', 'Involuntary movements', 'Abnormality of nervous system physiology', 'Myoclonus', 'Abnormality of movement', 'Abnormality of the eye']",
239,GYG2,EPM2A,,,,,1.0
236,GYG2,NHLRC1,,,,,1.0
265,STUB1,EPM2A,,,,,1.0
226,STUB1,NHLRC1,,,,,1.0
48,DNAJC5,NHLRC1,,,0.24444444444444444,"['Abnormality of the nervous system', 'Hepatic failure', 'Myoclonus', 'Abnormality of metabolism/homeostasis', 'Abnormality of hepatobiliary system physiology', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of central motor function', 'Mental deterioration', 'Abnormality of higher mental function', 'Involuntary movements', 'Dementia', 'Hallucinations', 'Cognitive impairment', 'Behavioral abnormality', 'Visual hallucinations', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Decreased liver function', 'Seizures', 'All']",
49,DNAJC5,EPM2A,,,0.24444444444444444,"['Abnormality of the nervous system', 'Hepatic failure', 'Myoclonus', 'Abnormality of metabolism/homeostasis', 'Abnormality of hepatobiliary system physiology', 'Abnormality of movement', 'Phenotypic abnormality', 'Abnormality of central motor function', 'Mental deterioration', 'Abnormality of higher mental function', 'Involuntary movements', 'Dementia', 'Hallucinations', 'Cognitive impairment', 'Behavioral abnormality', 'Visual hallucinations', 'Abnormality of digestive system physiology', 'Abnormality of the digestive system', 'Abnormality of nervous system physiology', 'Decreased liver function', 'Seizures', 'All']",
37,SNCB,NHLRC1,,,0.20689655172413793,"['Abnormality of central motor function', 'Hallucinations', 'Behavioral abnormality', 'Cognitive impairment', 'Phenotypic abnormality', 'Mental deterioration', 'Abnormality of higher mental function', 'Abnormality of the nervous system', 'Visual hallucinations', 'Dementia', 'Abnormality of nervous system physiology', 'All']",
