"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
7.3263312556366e-29,17,"131","HPO:Myoclonus","CSTB CLN5 SERPINI1 EFHC1 PLCB1 SCN2A PRDM8 CNTN2 CTNND2 KCNQ3 CLN6 NHLRC1 EPM2A SCARB2 KCNC1 MECR CLN8"
6.79885172757111e-19,8,"14","HPO:Generalized tonic-clonic seizures with focal onset","SCN2A SCN1B GABRG2 PCDH19 GABRA1 NHLRC1 EPM2A LGI1"
1.01247715593177e-18,11,"78","HPO:Cutaneous photosensitivity","PPOX SCN1B SCN2A GABRG2 PCDH19 GABRA1 NHLRC1 EPM2A CSTB SCARB2 PRICKLE1"
1.29446804541824e-18,10,"51","HPO:Generalized myoclonic seizures","ALDH5A1 PRDM8 SCN1B SCN2A GABRG2 PCDH19 GABRA1 NHLRC1 EPM2A PRICKLE1"
1.29446804541824e-18,9,"30","HPO:Absence seizures","CSTB GABRG2 EFHC1 ALDH5A1 SCN1B GABRA1 NHLRC1 EPM2A PCDH19"
3.45880182542791e-18,11,"92","HPO:Dementia","SERPINI1 NPC1 PRDM8 CLN6 NHLRC1 EPM2A ITM2B CSTB SCARB2 PRICKLE1 SNCB"
7.7887604569561e-18,10,"63","HPO:Generalized tonic-clonic seizures","CSTB ALDH5A1 GABRG2 EFHC1 CLN8 CNTN2 SCN2A SCN1B KCNQ3 PCDH19"
2.34103991934547e-15,9,"67","HPO:Psychosis","PPOX NPC1 CLN8 ALDH5A1 PRDM8 NHLRC1 EPM2A ITM2B PCDH19"
3.08254527886227e-15,14,"456","HPO:Ataxia","CSTB ALDH5A1 NPC1 PRDM8 SCN1B SCN2A GABRG2 PCDH19 GABRA1 CLN6 ITM2B KCNC1 MECR CLN8"
4.9484583684876e-15,7,"21","HPO:Focal seizures with impairment of consciousness or awareness","CLN8 SCN1B SCN2A GABRG2 PCDH19 GABRA1 LGI1"
7.45410717696466e-15,6,"10","HPO:Focal clonic seizures","KCNQ3 SCN1B SCN2A GABRG2 PCDH19 GABRA1"
1.47169143580752e-12,5,"8","HPO:Obtundation status","SCN1B SCN2A GABRG2 PCDH19 GABRA1"
1.47169143580752e-12,5,"8","HPO:Pschomotor retardation","SCN1B SCN2A GABRG2 PCDH19 GABRA1"
3.07185272968555e-12,5,"9","HPO:Visual hallucinations","PPOX CLN6 NHLRC1 EPM2A SNCB"
4.79984631137692e-12,9,"163","HPO:EEG abnormality","CNTN2 CTNND2 CLN8 ALDH5A1 SCN1B SCN2A GABRG2 PCDH19 GABRA1"
5.53420207312187e-12,6,"26","HPO:Febrile seizures","GABRG2 EFHC1 SCN1B GABRA1 SCN2A PCDH19"
6.69053322414415e-12,6,"27","HPO:Focal seizures","SCN2A PLCB1 GABRG2 CNTN2 CTNND2 PCDH19"
1.49750373076814e-11,5,"12","HPO:Neurodevelopmental delay","SCN1B SCN2A GABRG2 PCDH19 GABRA1"
1.51808731608806e-11,4,"4","HPO:EEG with polyspike wave complexes","EFHC1 CSTB SCARB2 PRICKLE1"
6.60522657326728e-11,9,"225","HPO:Tremor","CNTN2 SCN1B SCN2A GABRG2 PCDH19 GABRA1 ITM2B PRICKLE1 KCNC1"
7.0521517861344e-11,5,"16","HPO:Atonic seizures","GABRG2 SCN1B GABRA1 PRICKLE1 PCDH19"
6.44065007269703e-09,4,"12","HPO:Generalized seizures","PLCB1 CNTN2 CTNND2 SCARB2"
1.01808262866142e-08,3,"3","HPO:Morning myoclonic jerks","CSTB SCARB2 PRICKLE1"
2.27667791944577e-08,12,"1047","HPO:Seizures","PPOX CLN5 CLN6 SERPINI1 NPC1 PRDM8 CNTN2 GRIN2A SCN2A KCNQ3 KCNC1 CLN8"
4.20423708667965e-08,12,"1110","HPO:Intellectual disability","CLN5 ALDH5A1 NPC1 CNTN2 CTNND2 CLN8 GRIN2A GABRA1 CSTB SCARB2 PRICKLE1 PCDH19"
5.16701762342099e-08,8,"339","HPO:Dysarthria","CSTB CLN5 SERPINI1 NPC1 PRDM8 SCARB2 PRICKLE1 MECR"
8.65653908444348e-08,3,"5","HPO:Curvilinear intracellular accumulation of autofluorescent lipopigment storage material","CLN5 CLN6 CLN8"
1.31045613031812e-07,15,"2187","HPO:Autosomal recessive inheritance","CSTB CLN5 CLN6 PLCB1 NPC1 CNTN2 ALDH5A1 PRDM8 CLN8 NHLRC1 EPM2A SCARB2 SCN1B PRICKLE1 MECR"
2.81562843505371e-07,3,"7","HPO:Increased neuronal autofluorescent lipopigment","CLN5 CLN6 CLN8"
3.25991915565521e-07,12,"1358","HPO:Autosomal dominant inheritance","PPOX SCN2A SERPINI1 GABRG2 SCN1B GRIN2A ITM2B KCNQ3 GABRA1 SNCB KCNC1 LGI1"
