property	count
appetite_enhancer	2
Wiskott_Aldrich_syndrome_protein_inhibitor	1
peptide_coupling_reagent	2
EC_3.4.22.52_(calpain_1)_inhibitor	3
EC_2.3.1.5_(arylamine_N_acetyltransferase)_inhibitor	1
sedative	70
Daphnia_galeata_metabolite	15
EC_2.4.2.30_(NAD(+)_ADP_ribosyltransferase)_inhibitor	10
mydriatic_agent	12
EC_1.14.11.2_(procollagen_proline_dioxygenase)_inhibitor	3
P2Y2_receptor_agonist	1
fungicide	324
Lewis_base	7
EC_3.1.3.48_(protein_tyrosine_phosphatase)_inhibitor	15
EC_1.3.5.*_(oxidoreductase_acting_on_CH_CH_of_donor_with_a_quinone_or_related_compound_as_acceptor)_inhibitor	21
EC_1.1.1.188_(prostaglandin_F_synthase)_inhibitor	1
hypoglycemic_agent	112
inorganic_acid	145
antimicrobial_agent	2742
mitochondrial_NADH:ubiquinone_reductase_inhibitor	9
EC_3.4.22.56_(caspase_3)_inhibitor	1
phytoestrogen	17
EC_3.6.4.10_(non_chaperonin_molecular_chaperone_ATPase)_inhibitor	24
EC_1.14.13.181_(13_deoxydaunorubicin_hydroxylase)_inhibitor	2
formula	14
angiotensin_receptor_agonist	1
adenosine_receptor_antagonist	11
EC_1.3.1.72_(Delta(24)_sterol_reductase)_inhibitor	1
glutamine_antagonist	3
nematode_metabolite	291
ecdysone_agonist	10
cyanotoxin	11
melatonin_receptor_agonist	1
GABA_agent	216
mu_opioid_receptor_agonist	32
pediculicide	6
antibacterial_drug	317
EC_1.1.1.44_(NADP(+)_dependent_decarboxylating_phosphogluconate_dehydrogenase)_inhibitor	1
EC_1.13.11.27_(4_hydroxyphenylpyruvate_dioxygenase)_inhibitor	15
EC_6.5.*_(phosphoric_ester_bond_forming_ligase)_inhibitor	1
EC_3.1.3.11_(fructose_bisphosphatase)_inhibitor	1
EC_3.1.3.16_(phosphoprotein_phosphatase)_inhibitor	9
EC_1.3.99.29_[phytoene_desaturase_(zeta_carotene_forming)]_inhibitor	1
role	13726
antifibrinolytic_drug	5
EC_3.1.26.13_(retroviral_ribonuclease_H)_inhibitor	47
EC_2.3.3.*_(acyltransferase_converting_acyl_to_alkyl_group_on_transfer)_inhibitor	2
anti_obesity_agent	10
EC_3.5.4.1_(cytosine_deaminase)_inhibitor	1
EC_1.9.3.1_(cytochrome_c_oxidase)_inhibitor	7
tubulin_modulator	25
inchi	315397
cholinergic_agonist	52
